distance,shape,scale,freq,model,comp,m0_default
1260.0,0.6793350615323954,6.908806634764921e-06,0.01,Cold100,v,6.0
1265.0,0.6796468814587598,6.891498537281374e-06,0.01,Cold100,v,6.0
1270.0,0.6799587013851243,6.874190439797827e-06,0.01,Cold100,v,6.0
1275.0,0.6802705213114887,6.856882342314281e-06,0.01,Cold100,v,6.0
1280.0,0.680582341237853,6.839574244830734e-06,0.01,Cold100,v,6.0
1285.0,0.6808941611642174,6.822266147347188e-06,0.01,Cold100,v,6.0
1290.0,0.6812059810905818,6.804958049863641e-06,0.01,Cold100,v,6.0
1295.0,0.6815178010169463,6.787649952380094e-06,0.01,Cold100,v,6.0
1300.0,0.6818296209433107,6.770341854896548e-06,0.01,Cold100,v,6.0
1305.0,0.6821414408696751,6.753033757413001e-06,0.01,Cold100,v,6.0
1310.0,0.6820668155464253,6.735046613504296e-06,0.01,Cold100,v,6.0
1315.0,0.6819921902231756,6.71705946959559e-06,0.01,Cold100,v,6.0
1320.0,0.6819175648999258,6.6990723256868855e-06,0.01,Cold100,v,6.0
1325.0,0.6818429395766761,6.68108518177818e-06,0.01,Cold100,v,6.0
1330.0,0.6817683142534263,6.663098037869474e-06,0.01,Cold100,v,6.0
1335.0,0.6816936889301765,6.645110893960769e-06,0.01,Cold100,v,6.0
1340.0,0.6816190636069267,6.627123750052063e-06,0.01,Cold100,v,6.0
1345.0,0.681544438283677,6.609136606143358e-06,0.01,Cold100,v,6.0
1350.0,0.6814698129604272,6.591149462234652e-06,0.01,Cold100,v,6.0
1355.0,0.6813951876371774,6.5731623183259475e-06,0.01,Cold100,v,6.0
1360.0,0.6813977647348807,6.5517098660971186e-06,0.01,Cold100,v,6.0
1365.0,0.681400341832584,6.530257413868288e-06,0.01,Cold100,v,6.0
1370.0,0.6814029189302873,6.508804961639459e-06,0.01,Cold100,v,6.0
1375.0,0.6814054960279905,6.48735250941063e-06,0.01,Cold100,v,6.0
1380.0,0.6814080731256937,6.4659000571818e-06,0.01,Cold100,v,6.0
1385.0,0.6814106502233971,6.444447604952971e-06,0.01,Cold100,v,6.0
1390.0,0.6814132273211003,6.4229951527241415e-06,0.01,Cold100,v,6.0
1395.0,0.6814158044188036,6.401542700495313e-06,0.01,Cold100,v,6.0
1400.0,0.6814183815165069,6.380090248266483e-06,0.01,Cold100,v,6.0
1405.0,0.6814209586142101,6.358637796037654e-06,0.01,Cold100,v,6.0
1410.0,0.6815047329263589,6.335561646220224e-06,0.01,Cold100,v,6.0
1415.0,0.6815885072385077,6.312485496402794e-06,0.01,Cold100,v,6.0
1420.0,0.6816722815506565,6.289409346585364e-06,0.01,Cold100,v,6.0
1425.0,0.6817560558628053,6.266333196767934e-06,0.01,Cold100,v,6.0
1430.0,0.6818398301749541,6.243257046950503e-06,0.01,Cold100,v,6.0
1435.0,0.6819236044871029,6.220180897133074e-06,0.01,Cold100,v,6.0
1440.0,0.6820073787992517,6.197104747315644e-06,0.01,Cold100,v,6.0
1445.0,0.6820911531114005,6.174028597498215e-06,0.01,Cold100,v,6.0
1450.0,0.6821749274235492,6.150952447680784e-06,0.01,Cold100,v,6.0
1455.0,0.682258701735698,6.1278762978633545e-06,0.01,Cold100,v,6.0
1460.0,0.6824607871191135,6.1033801713687796e-06,0.01,Cold100,v,6.0
1465.0,0.6826628725025289,6.078884044874205e-06,0.01,Cold100,v,6.0
1470.0,0.6828649578859444,6.054387918379631e-06,0.01,Cold100,v,6.0
1475.0,0.6830670432693597,6.0298917918850555e-06,0.01,Cold100,v,6.0
1480.0,0.6832691286527752,6.0053956653904805e-06,0.01,Cold100,v,6.0
1485.0,0.6834712140361907,5.980899538895906e-06,0.01,Cold100,v,6.0
1490.0,0.6836732994196061,5.956403412401332e-06,0.01,Cold100,v,6.0
1495.0,0.6838753848030216,5.931907285906756e-06,0.01,Cold100,v,6.0
1500.0,0.6840774701864369,5.907411159412181e-06,0.01,Cold100,v,6.0
