z[m] rho[kg/m^3] T[K] c[m/s] p[Pa] n/a g[m/s^2] n/a.1 kappa[J/s/m/K] mu[kg(s.m)] n/a.2 w_y[m/s] w_x[m/s] w_proj[m/s] cP[J/(kg.K)] cV[J/(kg.K)] gamma[1] fr[Hz] Svib[1] kappa1 taus taue taus_new taue_new
37760.0 5.554 439.0483067 323.4556501 466500.0 0.0 8.759821208 0.0 0.01821972972 2.235724401e-05 0.0 0.0 25.36505582 25.36505582 984.1128935 792.7852177 1.241336079 279149.0709 0.07624901851 1.720935688652153e-06 0.01 0.010000043472859009 0.01 0.010000043472859009
37770.0 5.549 438.9646161 323.4281783 466000.0 0.0 8.759792438 0.0 0.01821573759 2.235402758e-05 0.0 0.0 25.38224506 25.38224506 984.0550169 792.7261876 1.241355505 278756.6329 0.07624122285 1.7227789869568879e-06 0.01 0.010000043529609887 0.01 0.010000043529609887
37780.0 5.545 438.8809423 323.4007078 465500.0 0.0 8.759763668 0.0 0.01821174566 2.235081109e-05 0.0 0.0 25.39951619 25.39951619 983.9971579 792.6671713 1.241374935 278364.6706 0.07623342402 1.7243146473267978e-06 0.01 0.010000043586444485 0.01 0.010000043586444485
37790.0 5.54 438.7972852 323.3732387 465000.0 0.0 8.759734899 0.0 0.01820775395 2.234759454e-05 0.0 0.0 25.41686884 25.41686884 983.9393166 792.6081687 1.241394368 277973.1836 0.076225622 1.7261641103522348e-06 0.01 0.010000043643362912 0.01 0.010000043643362912
37800.0 5.535 438.7136451 323.345771 464600.0 0.0 8.759706129 0.0 0.01820376245 2.234437794e-05 0.0 0.0 25.43430267 25.43430267 983.8814927 792.54918 1.241413804 277582.1714 0.07621781681 1.72801697461138e-06 0.01 0.010000043700365321 0.01 0.010000043700365321
37810.0 5.53 438.630022 323.3183047 464100.0 0.0 8.75967736 0.0 0.01819977117 2.234116129e-05 0.0 0.0 25.45181732 25.45181732 983.8236864 792.4902049 1.241433245 277191.6336 0.07621000844 1.7298732493439953e-06 0.01 0.010000043757451836 0.01 0.010000043757451836
37820.0 5.526 438.5464159 323.2908397 463600.0 0.0 8.759648591 0.0 0.01819578009 2.233794458e-05 0.0 0.0 25.46941244 25.46941244 983.7658976 792.4312435 1.241452688 276801.5696 0.07620219689 1.7314195657876782e-06 0.01 0.010000043814622609 0.01 0.010000043814622609
37830.0 5.521 438.4628269 323.2633762 463100.0 0.0 8.759619822 0.0 0.01819178923 2.233472782e-05 0.0 0.0 25.48708767 25.48708767 983.7081263 792.3722958 1.241472136 276411.9791 0.07619438215 1.7332820680539975e-06 0.01 0.010000043871877747 0.01 0.010000043871877747
37840.0 5.516 438.3792552 323.2359141 462600.0 0.0 8.759591053 0.0 0.01818779858 2.2331511e-05 0.0 0.0 25.50484266 25.50484266 983.6503723 792.3133617 1.241491586 276022.8615 0.07618656424 1.7351480069647326e-06 0.01 0.01000004392921742 0.01 0.01000004392921742
37850.0 5.512 438.2957008 323.2084535 462100.0 0.0 8.759562284 0.0 0.01818380814 2.232829413e-05 0.0 0.0 25.52267705 25.52267705 983.5926358 792.2544413 1.241511041 275634.2164 0.07617874314 1.736702257033864e-06 0.01 0.010000043986641744 0.01 0.010000043986641744
37860.0 5.507 438.2121637 323.1809943 461700.0 0.0 8.759533515 0.0 0.01817981792 2.232507721e-05 0.0 0.0 25.54059049 25.54059049 983.5349166 792.1955344 1.241530498 275246.0432 0.07617091887 1.7385744700896499e-06 0.01 0.01000004404415089 0.01 0.01000004404415089
37870.0 5.502 438.1286441 323.1535366 461200.0 0.0 8.759504747 0.0 0.01817582791 2.232186023e-05 0.0 0.0 25.55858262 25.55858262 983.4772147 792.1366412 1.241549959 274858.3417 0.07616309141 1.7404501451485855e-06 0.01 0.010000044101744937 0.01 0.010000044101744937
37880.0 5.497 438.0451421 323.1260804 460700.0 0.0 8.759475978 0.0 0.01817183811 2.231864319e-05 0.0 0.0 25.5766531 25.5766531 983.4195302 792.0777614 1.241569424 274471.1111 0.07615526078 1.7423292916709275e-06 0.01 0.010000044159424092 0.01 0.010000044159424092
37890.0 5.493 437.9616577 323.0986257 460200.0 0.0 8.75944721 0.0 0.01816784853 2.231542611e-05 0.0 0.0 25.59480156 25.59480156 983.3618629 792.0188952 1.241588892 274084.3512 0.07614742696 1.7438943855779005e-06 0.01 0.010000044217188435 0.01 0.010000044217188435
37900.0 5.488 437.8781909 323.0711725 459700.0 0.0 8.759418442 0.0 0.01816385917 2.231220897e-05 0.0 0.0 25.61302766 25.61302766 983.3042128 791.9600424 1.241608364 273698.0615 0.07613958996 1.745779870567328e-06 0.01 0.010000044275038124 0.01 0.010000044275038124
37910.0 5.483 437.794742 323.0437209 459300.0 0.0 8.759389674 0.0 0.01815987001 2.230899178e-05 0.0 0.0 25.63133103 25.63133103 983.2465799 791.9012032 1.241627839 273312.2414 0.07613174978 1.7476688527334982e-06 0.01 0.010000044332973312 0.01 0.010000044332973312
37920.0 5.479 437.7113109 323.0162708 458800.0 0.0 8.759360907 0.0 0.01815588108 2.230577454e-05 0.0 0.0 25.64971133 25.64971133 983.1889642 791.8423773 1.241647318 272926.8905 0.07612390642 1.749242021459184e-06 0.01 0.01000004439099413 0.01 0.01000004439099413
37930.0 5.474 437.6278977 322.9888223 458300.0 0.0 8.759332139 0.0 0.01815189235 2.230255724e-05 0.0 0.0 25.6681682 25.6681682 983.1313657 791.7835649 1.2416668 272542.0083 0.07611605988 1.7511373898286844e-06 0.01 0.010000044449100725 0.01 0.010000044449100725
37940.0 5.469 437.5445026 322.9613754 457800.0 0.0 8.759303371 0.0 0.01814790385 2.229933989e-05 0.0 0.0 25.68670129 25.68670129 983.0737842 791.7247658 1.241686286 272157.5944 0.07610821016 1.7530362824370742e-06 0.01 0.010000044507293224 0.01 0.010000044507293224
37950.0 5.465 437.4611255 322.9339301 457300.0 0.0 8.759274604 0.0 0.01814391556 2.229612249e-05 0.0 0.0 25.70531023 25.70531023 983.0162198 791.6659802 1.241705775 271773.6484 0.07610035726 1.7546175856947585e-06 0.01 0.010000044565571754 0.01 0.010000044565571754
37960.0 5.46 437.3777667 322.9064864 456900.0 0.0 8.759245837 0.0 0.01813992748 2.229290504e-05 0.0 0.0 25.72399469 25.72399469 982.9586724 791.6072078 1.241725268 271390.1697 0.07609250117 1.7565229127310025e-06 0.01 0.010000044623936478 0.01 0.010000044623936478
37970.0 5.455 437.2944261 322.8790444 456400.0 0.0 8.75921707 0.0 0.01813593962 2.228968754e-05 0.0 0.0 25.7427543 25.7427543 982.9011421 791.5484488 1.241744764 271007.1578 0.07608464191 1.7584317902554555e-06 0.01 0.010000044682387549 0.01 0.010000044682387549
37980.0 5.451 437.2111038 322.8516039 455900.0 0.0 8.759188303 0.0 0.01813195198 2.228646998e-05 0.0 0.0 25.7615887 25.7615887 982.8436287 791.489703 1.241764264 270624.6124 0.07607677946 1.7600212905465137e-06 0.01 0.010000044740925071 0.01 0.010000044740925071
37990.0 5.446 437.1277999 322.8241652 455400.0 0.0 8.759159536 0.0 0.01812796456 2.228325237e-05 0.0 0.0 25.78049756 25.78049756 982.7861323 791.4309705 1.241783767 270242.5329 0.07606891383 1.76193665121683e-06 0.01 0.010000044799549211 0.01 0.010000044799549211
38000.0 5.441 437.0445146 322.7967281 455000.0 0.0 8.759130769 0.0 0.01812397735 2.228003471e-05 0.0 0.0 25.7994805 25.7994805 982.7286527 791.3722513 1.241803274 269860.919 0.07606104502 1.7638555910804934e-06 0.01 0.010000044858260088 0.01 0.010000044858260088
38010.0 5.437 436.9612478 322.7692928 454500.0 0.0 8.759102003 0.0 0.01811999036 2.227681701e-05 0.0 0.0 25.81853718 25.81853718 982.6711901 791.3135452 1.241822784 269479.77 0.07605317303 1.765453347170959e-06 0.01 0.010000044917057875 0.01 0.010000044917057875
38020.0 5.432 436.8779997 322.7418591 454000.0 0.0 8.759073237 0.0 0.01811600358 2.227359925e-05 0.0 0.0 25.83766724 25.83766724 982.6137443 791.2548524 1.241842298 269099.0857 0.07604529785 1.7673788194005114e-06 0.01 0.010000044975942673 0.01 0.010000044975942673
38030.0 5.427 436.7947703 322.7144272 453500.0 0.0 8.75904447 0.0 0.01811201703 2.227038143e-05 0.0 0.0 25.85687033 25.85687033 982.5563153 791.1961727 1.241861815 268718.8654 0.0760374195 1.7693078965323896e-06 0.01 0.01000004503491467 0.01 0.01000004503491467
38040.0 5.423 436.7115597 322.686997 453100.0 0.0 8.759015704 0.0 0.01810803069 2.226716357e-05 0.0 0.0 25.8761461 25.8761461 982.4989031 791.1375061 1.241881336 268339.1088 0.07602953796 1.7709139732755833e-06 0.01 0.01000004509397397 0.01 0.01000004509397397
