distance,amp_median,amp_qmin,amp_qmax,freq,model,comp,m0_default
1085.0,3.262494196280799e-05,1.5982930424573575e-05,8.408003896069065e-05,0.01,Cold100,u,6.0
1090.0,3.253750654763246e-05,1.5976497682206174e-05,8.386284684155819e-05,0.01,Cold100,u,6.0
1095.0,3.2450071132456936e-05,1.5970064939838772e-05,8.364565472242573e-05,0.01,Cold100,u,6.0
1100.0,3.2362635717281415e-05,1.5963632197471368e-05,8.342846260329327e-05,0.01,Cold100,u,6.0
1105.0,3.227520030210589e-05,1.5957199455103966e-05,8.321127048416081e-05,0.01,Cold100,u,6.0
1110.0,3.219886035110235e-05,1.594443488202049e-05,8.298056700127473e-05,0.01,Cold100,u,6.0
1115.0,3.2122520400098816e-05,1.5931670308937012e-05,8.274986351838866e-05,0.01,Cold100,u,6.0
1120.0,3.2046180449095287e-05,1.5918905735853542e-05,8.251916003550258e-05,0.01,Cold100,u,6.0
1125.0,3.1969840498091744e-05,1.5906141162770065e-05,8.22884565526165e-05,0.01,Cold100,u,6.0
1130.0,3.1893500547088215e-05,1.5893376589686588e-05,8.205775306973043e-05,0.01,Cold100,u,6.0
1135.0,3.181716059608467e-05,1.5880612016603114e-05,8.182704958684434e-05,0.01,Cold100,u,6.0
1140.0,3.1740820645081144e-05,1.5867847443519637e-05,8.159634610395826e-05,0.01,Cold100,u,6.0
1145.0,3.16644806940776e-05,1.5855082870436167e-05,8.136564262107218e-05,0.01,Cold100,u,6.0
1150.0,3.158814074307407e-05,1.584231829735269e-05,8.113493913818611e-05,0.01,Cold100,u,6.0
1155.0,3.151180079207053e-05,1.5829553724269213e-05,8.090423565530003e-05,0.01,Cold100,u,6.0
1160.0,3.141856329977602e-05,1.577790023346358e-05,8.068269372573502e-05,0.01,Cold100,u,6.0
1165.0,3.1325325807481514e-05,1.572624674265795e-05,8.046115179617002e-05,0.01,Cold100,u,6.0
1170.0,3.123208831518701e-05,1.567459325185232e-05,8.023960986660501e-05,0.01,Cold100,u,6.0
1175.0,3.11388508228925e-05,1.5622939761046688e-05,8.001806793704e-05,0.01,Cold100,u,6.0
1180.0,3.104561333059799e-05,1.5571286270241057e-05,7.979652600747501e-05,0.01,Cold100,u,6.0
1185.0,3.095237583830348e-05,1.5519632779435422e-05,7.957498407791e-05,0.01,Cold100,u,6.0
1190.0,3.085913834600896e-05,1.5467979288629795e-05,7.9353442148345e-05,0.01,Cold100,u,6.0
1195.0,3.0765900853714455e-05,1.541632579782416e-05,7.913190021878e-05,0.01,Cold100,u,6.0
1200.0,3.067266336141995e-05,1.5364672307018532e-05,7.8910358289215e-05,0.01,Cold100,u,6.0
1205.0,3.057942586912544e-05,1.5313018816212898e-05,7.868881635965e-05,0.01,Cold100,u,6.0
1210.0,3.049201229592099e-05,1.525992493780752e-05,7.848590293116899e-05,0.01,Cold100,u,6.0
1215.0,3.040459872271655e-05,1.520683105940214e-05,7.828298950268802e-05,0.01,Cold100,u,6.0
1220.0,3.03171851495121e-05,1.5153737180996761e-05,7.808007607420702e-05,0.01,Cold100,u,6.0
1225.0,3.0229771576307652e-05,1.5100643302591384e-05,7.787716264572604e-05,0.01,Cold100,u,6.0
1230.0,3.014235800310321e-05,1.5047549424186004e-05,7.767424921724504e-05,0.01,Cold100,u,6.0
1235.0,3.005494442989876e-05,1.4994455545780625e-05,7.747133578876405e-05,0.01,Cold100,u,6.0
1240.0,2.9967530856694313e-05,1.4941361667375247e-05,7.726842236028308e-05,0.01,Cold100,u,6.0
1245.0,2.9880117283489864e-05,1.4888267788969868e-05,7.706550893180208e-05,0.01,Cold100,u,6.0
1250.0,2.9792703710285422e-05,1.4835173910564487e-05,7.68625955033211e-05,0.01,Cold100,u,6.0
1255.0,2.9705290137080974e-05,1.4782080032159109e-05,7.66596820748401e-05,0.01,Cold100,u,6.0
1260.0,2.962855759653049e-05,1.4741612718062908e-05,7.641816767362986e-05,0.01,Cold100,u,6.0
1265.0,2.9551825055980013e-05,1.4701145403966711e-05,7.61766532724196e-05,0.01,Cold100,u,6.0
1270.0,2.9475092515429533e-05,1.466067808987051e-05,7.593513887120934e-05,0.01,Cold100,u,6.0
1275.0,2.9398359974879053e-05,1.4620210775774312e-05,7.56936244699991e-05,0.01,Cold100,u,6.0
1280.0,2.9321627434328573e-05,1.4579743461678113e-05,7.545211006878885e-05,0.01,Cold100,u,6.0
1285.0,2.9244894893778092e-05,1.4539276147581914e-05,7.521059566757858e-05,0.01,Cold100,u,6.0
1290.0,2.9168162353227612e-05,1.4498808833485713e-05,7.496908126636834e-05,0.01,Cold100,u,6.0
1295.0,2.909142981267713e-05,1.4458341519389515e-05,7.472756686515809e-05,0.01,Cold100,u,6.0
1300.0,2.9014697272126655e-05,1.4417874205293316e-05,7.448605246394782e-05,0.01,Cold100,u,6.0
1305.0,2.8937964731576174e-05,1.4377406891197117e-05,7.424453806273757e-05,0.01,Cold100,u,6.0
1310.0,2.887115761195206e-05,1.434886624246845e-05,7.405036923391152e-05,0.01,Cold100,u,6.0
1315.0,2.8804350492327948e-05,1.4320325593739787e-05,7.385620040508545e-05,0.01,Cold100,u,6.0
