region,iloc,lon,lat,iradius,radius,ratio,ratio_map
corona,3,-119,-89,35,17510000.0,0.1937042827119983,0.9984263740077498
corona,3,-119,-89,36,18010000.0,0.19400946693305535,0.9999994108604632
corona,3,-119,-89,37,18510000.0,0.19400946693305535,0.9999994108604632
corona,4,-99,-89,0,10000.0,0.0,0.0
corona,4,-99,-89,1,510000.0,0.0,0.0
corona,4,-99,-89,2,1010000.0,0.0,0.0
corona,4,-99,-89,3,1510000.0,0.0,0.0
corona,4,-99,-89,4,2010000.0,0.0009304871114163695,0.004796088448357503
corona,4,-99,-89,5,2510000.0,0.0028700020308855927,0.014793094303198327
corona,4,-99,-89,6,3010000.0,0.004594354805528081,0.023681071709749812
corona,4,-99,-89,7,3510000.0,0.006307369649503104,0.03251060906094176
corona,4,-99,-89,8,4010000.0,0.008619211000296048,0.04442672854388184
corona,4,-99,-89,9,4510000.0,0.012768130075602773,0.06581185318033107
corona,4,-99,-89,10,5010000.0,0.018509625295084917,0.09540572778708653
corona,4,-99,-89,11,5510000.0,0.023180231777468908,0.11947982996662958
corona,4,-99,-89,12,6010000.0,0.031268695874413256,0.161170884839232
corona,4,-99,-89,13,6510000.0,0.03773148451887161,0.19448258317611822
corona,4,-99,-89,14,7010000.0,0.04372450326984141,0.22537290680302377
corona,4,-99,-89,15,7510000.0,0.04976980701692399,0.2565327274093095
corona,4,-99,-89,16,8010000.0,0.05689506553333396,0.29325905025981813
corona,4,-99,-89,17,8510000.0,0.06335314912218978,0.3265464969305101
corona,4,-99,-89,18,9010000.0,0.07165783898134866,0.3693520625444981
corona,4,-99,-89,19,9510000.0,0.08077851061280361,0.41636351204893823
corona,4,-99,-89,20,10010000.0,0.08880163248494859,0.4577177679635484
corona,4,-99,-89,21,10510000.0,0.09803135910425567,0.5052913288191897
corona,4,-99,-89,22,11010000.0,0.10804259418187873,0.5568930848461938
corona,4,-99,-89,23,11510000.0,0.11883226146349167,0.6125071798466014
corona,4,-99,-89,24,12010000.0,0.12843606790754056,0.662008891994394
corona,4,-99,-89,25,12510000.0,0.1383423215484321,0.7130695333194078
corona,4,-99,-89,26,13010000.0,0.14673110129170058,0.7563085305380399
corona,4,-99,-89,27,13510000.0,0.15455831771893963,0.7966530144421023
corona,4,-99,-89,28,14010000.0,0.16209816507363561,0.835516287620805
corona,4,-99,-89,29,14510000.0,0.1686234431590045,0.8691500805703065
corona,4,-99,-89,30,15010000.0,0.1730580059386132,0.8920075227206046
corona,4,-99,-89,31,15510000.0,0.17798394111734747,0.91739768720351
corona,4,-99,-89,32,16010000.0,0.18218964723015,0.9390755140721648
corona,4,-99,-89,33,16510000.0,0.18856312868691094,0.97192688881508
corona,4,-99,-89,34,17010000.0,0.19263710613182647,0.9929257354650742
corona,4,-99,-89,35,17510000.0,0.19367645667817449,0.9982829479272071
corona,4,-99,-89,36,18010000.0,0.19400946693305535,0.9999994108604632
corona,4,-99,-89,37,18510000.0,0.19400946693305535,0.9999994108604632
corona,5,-79,-89,0,10000.0,0.0,0.0
corona,5,-79,-89,1,510000.0,0.0,0.0
corona,5,-79,-89,2,1010000.0,0.0,0.0
corona,5,-79,-89,3,1510000.0,0.0,0.0
corona,5,-79,-89,4,2010000.0,0.0009372218113123409,0.004830801681864903
corona,5,-79,-89,5,2510000.0,0.0028436244211762223,0.014657133957622102
corona,5,-79,-89,6,3010000.0,0.004570346995063133,0.02355732622093157
corona,5,-79,-89,7,3510000.0,0.0063124908316084544,0.032537005603178674
corona,5,-79,-89,8,4010000.0,0.008664682425189817,0.044661105756620884
corona,5,-79,-89,9,4510000.0,0.012785788869849305,0.06590287339765444
corona,5,-79,-89,10,5010000.0,0.018541829954440238,0.09557172298768876
corona,5,-79,-89,11,5510000.0,0.023189280707236932,0.11952647163097714
corona,5,-79,-89,12,6010000.0,0.03131489352724895,0.16140900531009938
corona,5,-79,-89,13,6510000.0,0.03761887128702236,0.19390213126681424
corona,5,-79,-89,14,7010000.0,0.04358666110014625,0.22466241524472033
corona,5,-79,-89,15,7510000.0,0.04960955970158806,0.2557067511130951
corona,5,-79,-89,16,8010000.0,0.056918895198527955,0.29338187751939315
corona,5,-79,-89,17,8510000.0,0.06351615137801274,0.32738667324957665
corona,5,-79,-89,18,9010000.0,0.0716951713990619,0.36954448818387226
corona,5,-79,-89,19,9510000.0,0.08084097051597337,0.41668545441267724
corona,5,-79,-89,20,10010000.0,0.08897940397293354,0.4586340705855957
corona,5,-79,-89,21,10510000.0,0.09828660274332654,0.5066069527046201
corona,5,-79,-89,22,11010000.0,0.10826590745170356,0.5580441273277404
